PrimeNet;janvier;février;mars;avril;mai;juin;juillet;août;septembre;Target
30749375;46468;1066576;823776;2037819;2465119;1605978;3743717;2092053;1428538;1
9808998;339455;197595;190900;1193150;1225188;934676;599618;521760;539505;1
45041086;3920540;4185710;5623558;4703799;4491835;4918085;4793195;4990164;5288415;1
5472973;134150;288452;84803;220550;273720;185495;91375;53685;24000;0
4680000;66856;83762;190479;169715;54615;387864;161855;644529;53607;0
424000;74255;44842;28968;258264;155711;28987;17002;15677;21122;1
101061337;5365199;4360197;3203990;5793312;5069215;5670635;4220445;5205445;4412802;0
140757320;11512755;7092269;11770154;10368014;9753261;11256217;15227114;9922148;10193469;1
18452869;400996;928998;644632;1185931;835953;572772;486618;1236235;458892;0
23441895;6777647;4334480;3883293;4527542;4401121;5539079;6451366;2718925;5550351;1
10894626;1397230;486137;373215;434397;143703;335514;394935;495120;419795;0
3082250;9098;279730;4500;48331;50062;103654;130543;132405;518244;0
1666348;103360;61277;33574;78133;134216;81234;296315;45751;32786;1
13812874;617372;1238392;1006697;1065761;764697;1111635;663207;1428593;1078984;1
34349237;1718551;5850628;5561773;4380947;6145160;7193483;5538559;4986966;3985276;1
20444252;1343008;1614824;2486010;3018148;3698912;2834698;2657012;1536206;2290088;1
79593750;9647978;8274651;10478506;12726745;10481827;9431629;28427165;9986971;12901326;1
11078676;466472;1091177;390924;330772;962502;667477;285995;648960;971258;0
8246535;152395;420520;25595;97150;134978;141440;232459;464260;431475;0
95147126;4223057;3810718;3954374;4175650;6088063;5999080;5293173;7715514;6493121;0
30333582;2179408;1802518;1885350;2082843;1471277;2343416;1501075;1034875;970623;0
25949582;610996;445264;1061002;768408;649347;786322;968579;1266664;1150793;0
10590197;735512;274064;372683;476520;562562;642515;395355;459462;212415;0
9015868;38445;299929;313797;213406;246277;229476;93305;89570;120064;0
8120394;371695;161158;74993;150268;807956;269305;194372;137667;172382;0
36186614;2267560;2612387;2745760;1252704;2804023;2414123;2520732;1906117;2781368;1
670680;171832;24316;129416;42788;54644;18268;59772;94072;15916;1
2909801;150310;700313;81045;70095;89110;109945;256330;81885;62085;1
16743836;806732;708036;986456;590492;876579;1349574;1392744;2056943;1066788;1
9350000;253000;214160;507748;1601950;838268;127180;325420;378870;225580;0
15906036;525688;541156;629912;975614;3114386;1500407;543311;698331;197333;0
4485000;5952879;1056285;812418;1176495;179505;1250190;179340;179340;28552653;1
2102491;435000;244500;218985;339435;820170;150000;207480;657030;881850;1
47493750;2253771;3820538;2342787;2914626;1544109;4475572;2269357;1748675;1483789;0
4716336;83625;1719150;88450;820725;315900;129910;69225;79290;246575;1
96673050;11146625;7724119;9834001;7094497;13213683;14160388;6689695;9986476;8754595;1
14601815;1361858;494656;685252;1609528;450156;715680;630408;1095748;1973139;1
4537494;77448;247864;39056;81936;436490;442190;53570;319050;514108;0
8500115;228080;211429;905536;808787;489928;1142683;1024407;93084;257720;1
20372367;578876;2109333;2322162;1758197;580243;505524;909653;671728;966530;0
12022709;1036296;680057;683240;241315;460010;780508;611010;331410;414356;1
1384425;23410;237155;135050;131388;87558;119026;136966;108395;456535;1
5391958;302040;71662;156595;284490;115476;111625;72498;172605;284273;0
4907700;41563;52205;170406;99772;107299;171850;53017;42292;72205;0
44705898;2986534;3406682;5522755;4343048;10197078;4679944;3594270;6451374;4589212;1
19331158;2927204;1869070;2227904;1681852;3268740;1667170;1634950;2496236;1942496;1
64948511;2723682;1459764;2189029;1284507;3146170;1251787;1272705;2590127;995562;0
7067973;399237;388434;308780;513543;785575;561109;289920;684122;341115;1
16193331;74708;526500;282532;131421;222556;213912;72308;156467;136788;0
1816426;45755;422085;282832;115695;75000;493607;66700;8400;210250;1
3260250;205660;499085;517115;128815;78280;46930;313645;103530;335637;1
92389909;5687120;6116548;6558289;5356146;6528290;6874314;3877474;6283209;4338064;0
11943000;918723;248200;1122676;398708;705300;330916;320888;164200;338024;0
6964806;55687;44765;413155;160310;950161;458444;465740;749450;201905;0
7219212;584015;753388;1126845;1069835;997516;392335;414115;161415;572735;1
21542895;227869;216055;836180;454391;1064486;542780;984913;1261875;796324;0
2142452;292445;68470;94630;94630;70560;53025;67025;69062;361130;0
3586276;138920;78665;93680;49250;53630;86230;199365;50085;303975;0
10442134;156288;151767;387995;372546;251686;291666;227388;86345;12896;0
44250694;676625;719719;1727845;1248768;1221519;1552030;2316380;2216922;4700229;0
14332835;784148;820041;898820;992915;1352209;1148818;736288;1141179;723614;0
14355471;143900;510943;1101015;1067540;720546;777164;597192;452248;506072;0
1928208;557972;1030980;613710;567082;600798;1204426;119680;811342;124100;1
15221250;1063497;1073923;1215438;955220;729278;1424505;901888;990458;360340;1
